Actual Summary,Model Summary
"Membership gives the ICC jurisdiction over alleged crimes committed in Palestinian territories since last June. Israel and the United States opposed the move, which could open the door to war crimes investigations against Israelis.
",Palestinian Authority becomes 123rd member of International Criminal Court. The move gives the court jurisdiction over alleged crimes in Palestinian territories. Israel and the United States opposed the Palestinians' efforts to join the body. 
"Theia, a bully breed mix, was apparently hit by a car, whacked with a hammer and buried in a field. ""She's a true miracle dog and she deserves a good life,"" says Sara Mellado, who is looking for a home for Theia.
","The dog was apparently hit by a car and buried in a field, only to survive. She has a dislocated jaw, leg injuries and a caved-in sinus cavity. A fundraising page has raised more than $10,000 for the dog's medical care. "
"Mohammad Javad Zarif has spent more time with John Kerry than any other foreign minister. He once participated in a takeover of the Iranian Consulate in San Francisco. The Iranian foreign minister tweets in English.
",Mohammad Javad Zarif is the Iranian foreign minister. He has played a key role in efforts to reach a deal with the U.S. on Iran's nuclear program. 
"17 Americans were exposed to the Ebola virus while in Sierra Leone in March. Another person was diagnosed with the disease and taken to hospital in Maryland. National Institutes of Health says the patient is in fair condition after weeks of treatment.
",Five Americans were monitored for three weeks after being exposed to Ebola in West Africa. None developed the deadly virus. One of the five had a heart-related issue and has been discharged. 
"Student is no longer on Duke University campus and will face disciplinary review. School officials identified student during investigation and the person admitted to hanging the noose, Duke says. The noose, made of rope, was discovered on campus about 2 a.m.
","Student admitted to hanging a noose from a tree near a student union, Duke says. The student is no longer on campus and will face student conduct review, the school says. "
"College-bound basketball star asks girl with Down syndrome to high school prom. Pictures of the two during the ""prom-posal"" have gone viral.
","Trey Moses, a basketball star at Eastern High School in Kentucky, asked his girlfriend to be his date. Ellie Meredith, a freshman with Down syndrome, said yes. Photos of the pair have gone viral on social media. "
"Amnesty's annual death penalty report catalogs encouraging signs, but setbacks in numbers of those sentenced to death. Organization claims that governments around the world are using the threat of terrorism to advance executions. The number of executions worldwide has gone down by almost 22% compared with 2013, but death sentences up by 28%.
","Amnesty International releases its annual report on the death penalty. At least 607 people were executed around the world in 2014, compared to 778 in 2013. The number of executions worldwide has gone down by almost 22% on the previous year. "
"Andrew Getty's death appears to be from natural causes, police say, citing coroner's early assessment. In a petition for a restraining order, Getty had written he had a serious medical condition. Police say this is not a criminal matter at this time.
","Andrew Getty, 47, appears to have died of natural causes, police say. Coroner's preliminary assessment is there was no foul play involved in his death. He is the grandson of oil tycoon J. Paul Getty. "
"Once a super typhoon, Maysak is now a tropical storm with 70 mph winds. It could still cause flooding, landslides and other problems in the Philippines.
",Tropical storm Maysak is now a tropical storm. It's expected to make landfall Sunday morning on the southeastern coast of Isabela province. 
"Bob Barker returned to host ""The Price Is Right"" on Wednesday. Barker, 91, had retired as host in 2007.
","Bob Barker returned to ""The Price Is Right"" on April 1. Barker hosted the show for 35 years before stepping down in 2007. "
"London's Metropolitan Police say the man was arrested at Luton airport after landing on a flight from Istanbul. He's been charged with terror offenses allegedly committed since the start of November.
","Yahya Rashid, 19, was detained at Luton airport on Tuesday after he arrived on a flight from Istanbul, police said. He's been charged with engaging in conduct in preparation of acts of terrorism. "
"""Furious 7"" pays tribute to star Paul Walker, who died during filming. Vin Diesel: ""This movie is more than a movie"" ""Furious 7"" opens Friday.
","Paul Walker died in a car crash in November 2013. His death was especially eerie given his rise to fame in the ""Fast and Furious"" film franchise. The film ""Furious 7"" will be released Friday. "
"Museum: Anne Frank died earlier than previously believed. Researchers re-examined archives and testimonies of survivors. Anne and older sister Margot Frank are believed to have died in February 1945.
","Anne Frank died of typhus in a Nazi concentration camp at the age of 15. Dutch authorities had previously determined that she died on March 31, 1945. New research shows that Anne and her older sister, Margot Frank, died at least a month earlier. "
"LZ: Indiana law pushing back LGBT rights, and other states' anti-LGBT moves, bow to far right wing that GOP candidates need for 2016. Cruz, Huckabee, Jindal, Carson, Walker are reviving culture wars, he says. Equality for LGBT has not yet ""won"" in America.
",LZ Granderson: Mike Pence's decision to sign anti-gay law is hurting his chances in 2016. He says it's a sign of how far right the GOP is on same-sex marriage. 
"Singing the national anthem is a risky proposition. Whitney Houston nailed it; Roseanne Barr destroyed it.
","Mötley Crüe's Vince Neil reminded us again of the dangers of tackling ""The Star-Spangled Banner"" "
"While Republican Gov. Asa Hutchinson was weighing an Arkansas religious freedom bill, Walmart voiced its opposition. Walmart and other high-profile businesses are showing their support for gay and lesbian rights. Their stance puts them in conflict with socially conservative Republicans, traditionally seen as allies.
",Walmart's opposition to a religious freedom law in Arkansas puts the company at odds with many in the Republican Party. The company is emerging as a bellwether for shifting public opinion on hot-button political issues that divide conservatives and liberals. 
"Amnesty International releases its annual review of the death penalty worldwide; much of it makes for grim reading. Salil Shetty: Countries that use executions to deal with problems are on the wrong side of history.
",Amnesty International releases its annual review of the death penalty worldwide. Amnesty International: Governments using death penalty in misguided attempt to tackle crime and terrorism. 
"Marseille prosecutor says ""so far no videos were used in the crash investigation"" despite media reports. Journalists at Bild and Paris Match are ""very confident"" the video clip is real, an editor says. Andreas Lubitz had informed his Lufthansa training school of an episode of severe depression, airline says.
","Prosecutor: ""So far no videos were used in the crash investigation"" German daily Bild and French magazine Paris Match claim to have video of the crash. A Gendarmerie spokesman calls the reports ""completely wrong"" and ""unwarranted"" "
"The Rev. Robert Schuller, 88, had been diagnosed with esophageal cancer in 2013. His TV show, ""Hour of Power,"" was enormously popular in the 1970s and 1980s.
","Robert Schuller was the founder of ""Hour of Power"" and the Crystal Cathedral megachurch. He was diagnosed with esophageal cancer in August 2013. "
"Former GOP representative compares President Obama to Andreas Lubitz. Bachmann said with possible Iran deal, Obama will fly ""entire nation into the rocks"" Reaction on social media? She was blasted by Facebook commenters.
",Michele Bachmann compares President Obama to the co-pilot of the doomed Germanwings flight. Bachmann made the comparison in a Facebook comment posted March 31. 
"Father: ""I know he went through what he went through"" Louis Jordan was found on his sailboat, which was listing and in bad shape, rescuer says. He appears to be in good shape, physically and mentally.
","Louis Jordan, 37, left Conway, South Carolina, to fish in the ocean. A storm capsized his boat and broke his mast. He was rescued by a container ship in Norfolk, Virginia. "
"Richard Klass: Iran framework agreement on nukes is strong, but opponents will cast doubts on this and try to obscure its facts. He says the deal would cut uranium stockpile, centrifuges, implement rigorous inspections; it should be judged on merits, not disinformation.
",Frida Ghitis: U.S. reached deal with Iran that limits its nuclear program. She says critics are wrong to make many assumptions about the deal. 
"Americans paid more for some fruits and vegetables last year because of the drought. Tourists will now have to ask for a glass of water at a California restaurant. Perhaps the only good thing is another ""great"" wine grape harvest last year.
","California's drought is affecting the rest of the country, too. Food prices are expected to rise this year because of inflation, an economist says. The price of beef and veal rose 12.1% in 2014 because of the drought. "
"The FBI cites social media messages sent by Keonna Thomas, 30. She's accused of trying to travel overseas to join ISIS. Thomas is one of three women facing federal terror charges this week.
","Keonna Thomas, 30, is one of three women arrested this week on terror charges. She's accused of trying to travel overseas to fight for ISIS. "
"Iranian sports official: The ban will be lifted for some events in the coming year. But he says ""families are not interested in attending"" some sports matches.
",Women have been barred from attending most sports events involving men since the Islamic Revolution in 1979. A top Iranian sports official says the ban will be lifted for some events in the next year. 
"Going online has become the path of least resistance if you want to make yourself heard. But where there is the restrictive rule of law, journalists are vulnerable to the anger of officialdom. From China to Malaysia, journalists and bloggers have been jailed -- even killed.
","Lack of access to traditional media is driving dissident voices to post online, says Peter Bergen. Bergen: China is biggest jailer of journalists, followed by Vietnam, Malaysia. "
"The singer had been off the scene for a while. She says she was bedridden for months. Lavigne was sometimes too weak to shower.
",Avril Lavigne says she was bedridden for five months after contracting Lyme disease. The singer believes she was bitten by a tick last spring. Lavigne is releasing a new single this month to support the 2015 Special Olympics. 
"Here are six of CNN's best videos of the week. Clips include a look at Mike Tyson's abandoned mansion.
","A former heavyweight champ's gaudy, abandoned Ohio mansion features a marble-and-gold Jacuzzi. A shepherd describes the final seconds of a plane crash in the French Alps. Penn Jillette talks about Indiana's religious freedom law. "
